geoid,name,med_housing_value_22,med_prop_tax_paid_22,effective_prop_tax_rate_22,med_housing_value_23,med_prop_tax_paid_23,effective_prop_tax_rate_23,ch_22_23,ch_22_23_real
13115,"Floyd County, Georgia",174000,1428,0.008207,194100,1560,0.008037,0.092437,0.0494111
13117,"Forsyth County, Georgia",451100,3500,0.007759,493800,3747,0.007588,0.0705714,0.0284068
13119,"Franklin County, Georgia",146700,1216,0.008289,160600,1231,0.007665,0.0123355,-0.0275355
13121,"Fulton County, Georgia",398300,3631,0.009116,431200,3847,0.008922,0.0594877,0.0177596
13123,"Gilmer County, Georgia",259700,1068,0.004112,278900,1070,0.003837,0.0018727,-0.0375863
13125,"Glascock County, Georgia",117300,1227,0.01046,122800,1214,0.009886,-0.0105949,-0.0495629
13127,"Glynn County, Georgia",238000,1567,0.006584,268300,1712,0.006381,0.0925335,0.0495038
13129,"Gordon County, Georgia",179100,1302,0.00727,205600,1450,0.007053,0.1136713,0.0698091
13131,"Grady County, Georgia",147000,1518,0.010327,136500,1337,0.009795,-0.1192358,-0.1539249
13133,"Greene County, Georgia",308000,2132,0.006922,342200,2343,0.006847,0.0989681,0.055685
13135,"Gwinnett County, Georgia",307300,3124,0.010166,345700,3381,0.00978,0.0822663,0.039641
13137,"Habersham County, Georgia",188800,1287,0.006817,212000,1330,0.006274,0.033411,-0.0072901
13139,"Hall County, Georgia",277900,2202,0.007924,313600,2382,0.007596,0.0817439,0.0391392
13141,"Hancock County, Georgia",93500,980,0.010481,87400,869,0.009943,-0.1132653,-0.1481895
13143,"Haralson County, Georgia",187700,1692,0.009014,210400,1787,0.008493,0.0561466,0.01455
13145,"Harris County, Georgia",273200,2460,0.009004,278700,2470,0.008863,0.004065,-0.0354803
13147,"Hart County, Georgia",180500,1080,0.005983,206500,1113,0.00539,0.0305556,-0.0100331
13149,"Heard County, Georgia",134900,920,0.00682,161000,1030,0.006398,0.1195652,0.0754709
13151,"Henry County, Georgia",245200,2394,0.009763,277400,2559,0.009225,0.0689223,0.0268226
13153,"Houston County, Georgia",189500,1642,0.008665,205600,1759,0.008555,0.0712546,0.029063
13155,"Irwin County, Georgia",94700,1062,0.011214,105300,1174,0.011149,0.1054614,0.0619226
13157,"Jackson County, Georgia",280600,2598,0.009259,312700,2761,0.00883,0.0627406,0.0208843
13159,"Jasper County, Georgia",184000,1707,0.009277,219700,1956,0.008903,0.1458699,0.1007396
13161,"Jeff Davis County, Georgia",106800,1039,0.009728,109300,1016,0.009296,-0.0221367,-0.06065
13163,"Jefferson County, Georgia",90900,938,0.010319,93100,923,0.009914,-0.0159915,-0.0547469
13165,"Jenkins County, Georgia",81800,754,0.009218,81100,777,0.009581,0.030504,-0.0100826
13167,"Johnson County, Georgia",81300,804,0.009889,91200,837,0.009178,0.0410448,0.000043
13169,"Jones County, Georgia",159500,1620,0.010157,174600,1673,0.009582,0.0327161,-0.0079577
13171,"Lamar County, Georgia",177000,1792,0.010124,201400,1910,0.009484,0.0658482,0.0238696
13173,"Lanier County, Georgia",150200,1559,0.010379,161100,1639,0.010174,0.0513149,0.0099087
13175,"Laurens County, Georgia",132000,1108,0.008394,137400,1057,0.007693,-0.0460289,-0.0836012
13177,"Lee County, Georgia",208800,2159,0.01034,226900,2273,0.010018,0.0528022,0.0113374
